"GAME_ID","EVENTNUM","EVENTMSGTYPE","EVENTMSGACTIONTYPE","PERIOD","WCTIMESTRING","PCTIMESTRING","HOMEDESCRIPTION","NEUTRALDESCRIPTION","VISITORDESCRIPTION","SCORE","SCOREMARGIN","PERSON1TYPE","PLAYER1_ID","PLAYER1_NAME","PLAYER1_TEAM_ID","PLAYER1_TEAM_CITY","PLAYER1_TEAM_NICKNAME","PLAYER1_TEAM_ABBREVIATION","PERSON2TYPE","PLAYER2_ID","PLAYER2_NAME","PLAYER2_TEAM_ID","PLAYER2_TEAM_CITY","PLAYER2_TEAM_NICKNAME","PLAYER2_TEAM_ABBREVIATION","PERSON3TYPE","PLAYER3_ID","PLAYER3_NAME","PLAYER3_TEAM_ID","PLAYER3_TEAM_CITY","PLAYER3_TEAM_NICKNAME","PLAYER3_TEAM_ABBREVIATION","VIDEO_AVAILABLE_FLAG","NA"
"2022200420","2","12","0","1","7:03 PM","12:00",NA,"Start of 1st Period (7:03 PM EST)",NA,NA,NA,"0","0",NA,NA,NA,NA,NA,"0","0",NA,NA,NA,NA,NA,"0","0",NA,NA,NA,NA,NA,"0",0
"2022200420","4","10","0","1","7:03 PM","12:00","Jump Ball Sims vs. Anderson: Tip to Jeffries",NA,NA,NA,NA,"4","1630579","Jericho Sims","1612709919","Westchester","Knicks","WES","5","1626147","Justin Anderson","1612709910","Fort Wayne","Mad Ants","FWN","4","1629610","DaQuan Jeffries","1612709919","Westchester","Knicks","WES","0",0
"2022200420","7","2","1","1","7:04 PM","11:41","MISS Walker 3PT Jump Shot",NA,NA,NA,NA,"4","1630640","MJ Walker","1612709919","Westchester","Knicks","WES","0","0",NA,NA,NA,NA,NA,"0","0",NA,NA,NA,NA,NA,"0",0
"2022200420","8","4","0","1","7:05 PM","11:41","Sims REBOUND (Off:1 Def:0)",NA,NA,NA,NA,"4","1630579","Jericho Sims","1612709919","Westchester","Knicks","WES","0","0",NA,NA,NA,NA,NA,"0","0",NA,NA,NA,NA,NA,"0",0
"2022200420","9","1","1","1","7:05 PM","11:35","Jeffries 24' 3PT Jump Shot (3 PTS) (Sims 1 AST)",NA,NA,"0 - 3","3","4","1629610","DaQuan Jeffries","1612709919","Westchester","Knicks","WES","4","1630579","Jericho Sims","1612709919","Westchester","Knicks","WES","0","0",NA,NA,NA,NA,NA,"0",0
"2022200420","14","5","11","1","7:06 PM","11:09",NA,NA,"Mad Ants Turnover: Shot Clock (T#1)",NA,NA,"3","1612709910",NA,NA,NA,NA,NA,"0","0",NA,NA,NA,NA,NA,"1","0",NA,NA,NA,NA,NA,"0",0
"2022200420","15","1","1","1","7:07 PM","10:58","Jeffries 25' 3PT Jump Shot (6 PTS) (Noel 1 AST)",NA,NA,"0 - 6","6","4","1629610","DaQuan Jeffries","1612709919","Westchester","Knicks","WES","4","1630750","Obadiah Noel","1612709919","Westchester","Knicks","WES","0","0",NA,NA,NA,NA,NA,"0",0
"2022200420","17","1","1","1","7:07 PM","10:41",NA,NA,"York 3PT Jump Shot (3 PTS) (Samuels Jr. 1 AST)","3 - 6","3","5","1628221","Gabe York","1612709910","Fort Wayne","Mad Ants","FWN","5","1631257","Jermaine Samuels Jr.","1612709910","Fort Wayne","Mad Ants","FWN","0","0",NA,NA,NA,NA,NA,"0",0
"2022200420","19","2","1","1","7:08 PM","10:30","MISS Jeffries 26' 3PT Jump Shot",NA,NA,NA,NA,"4","1629610","DaQuan Jeffries","1612709919","Westchester","Knicks","WES","0","0",NA,NA,NA,NA,NA,"0","0",NA,NA,NA,NA,NA,"0",0
"2022200420","20","4","0","1","7:08 PM","10:30",NA,NA,"Bone REBOUND (Off:0 Def:1)",NA,NA,"5","1629648","Jordan Bone","1612709910","Fort Wayne","Mad Ants","FWN","0","0",NA,NA,NA,NA,NA,"0","0",NA,NA,NA,NA,NA,"0",0
"2022200420","21","1","1","1","7:08 PM","10:15",NA,NA,"Samuels Jr. 26' 3PT Jump Shot (3 PTS) (York 1 AST)","6 - 6","TIE","5","1631257","Jermaine Samuels Jr.","1612709910","Fort Wayne","Mad Ants","FWN","5","1628221","Gabe York","1612709910","Fort Wayne","Mad Ants","FWN","0","0",NA,NA,NA,NA,NA,"0",0
"2022200420","23","2","1","1","7:09 PM","10:00","MISS Wright-Foreman 25' 3PT Jump Shot",NA,NA,NA,NA,"4","1629625","Justin Wright-Foreman","1612709919","Westchester","Knicks","WES","0","0",NA,NA,NA,NA,NA,"0","0",NA,NA,NA,NA,NA,"0",0
"2022200420","24","4","0","1","7:09 PM","10:00",NA,NA,"Anderson REBOUND (Off:0 Def:1)",NA,NA,"5","1626147","Justin Anderson","1612709910","Fort Wayne","Mad Ants","FWN","0","0",NA,NA,NA,NA,NA,"0","0",NA,NA,NA,NA,NA,"0",0
"2022200420","25","2","1","1","7:09 PM","9:48",NA,NA,"MISS York 3PT Jump Shot",NA,NA,"5","1628221","Gabe York","1612709910","Fort Wayne","Mad Ants","FWN","0","0",NA,NA,NA,NA,NA,"0","0",NA,NA,NA,NA,NA,"0",0
"2022200420","26","4","0","1","7:10 PM","9:48","Walker REBOUND (Off:0 Def:1)",NA,NA,NA,NA,"4","1630640","MJ Walker","1612709919","Westchester","Knicks","WES","0","0",NA,NA,NA,NA,NA,"0","0",NA,NA,NA,NA,NA,"0",0
"2022200420","27","2","1","1","7:10 PM","9:42","MISS Walker 26' 3PT Jump Shot",NA,NA,NA,NA,"4","1630640","MJ Walker","1612709919","Westchester","Knicks","WES","0","0",NA,NA,NA,NA,NA,"0","0",NA,NA,NA,NA,NA,"0",0
"2022200420","28","4","0","1","7:10 PM","9:42",NA,NA,"York REBOUND (Off:0 Def:1)",NA,NA,"5","1628221","Gabe York","1612709910","Fort Wayne","Mad Ants","FWN","0","0",NA,NA,NA,NA,NA,"0","0",NA,NA,NA,NA,NA,"0",0
"2022200420","29","1","6","1","7:11 PM","9:42",NA,NA,"Queen 3' Driving Layup (2 PTS)","8 - 6","-2","5","1630243","Trevelin Queen","1612709910","Fort Wayne","Mad Ants","FWN","0","0",NA,NA,NA,NA,NA,"0","0",NA,NA,NA,NA,NA,"0",0
"2022200420","30","5","2","1","7:11 PM","9:14","Jeffries Lost Ball Turnover (P1.T1)",NA,"Queen STEAL (1 STL)",NA,NA,"4","1629610","DaQuan Jeffries","1612709919","Westchester","Knicks","WES","5","1630243","Trevelin Queen","1612709910","Fort Wayne","Mad Ants","FWN","0","0",NA,NA,NA,NA,NA,"0",0
"2022200420","32","1","1","1","7:12 PM","9:14",NA,NA,"Bone 3PT Jump Shot (3 PTS) (Queen 1 AST)","11 - 6","-5","5","1629648","Jordan Bone","1612709910","Fort Wayne","Mad Ants","FWN","5","1630243","Trevelin Queen","1612709910","Fort Wayne","Mad Ants","FWN","0","0",NA,NA,NA,NA,NA,"0",0
"2022200420","34","5","13","1","7:12 PM","8:56","Wright-Foreman Backcourt Turnover (P1.T2)",NA,NA,NA,NA,"4","1629625","Justin Wright-Foreman","1612709919","Westchester","Knicks","WES","0","0",NA,NA,NA,NA,NA,"1","0",NA,NA,NA,NA,NA,"0",0
"2022200420","35","1","7","1","7:13 PM","8:47",NA,NA,"Anderson 4' Dunk (2 PTS) (Samuels Jr. 2 AST)","13 - 6","-7","5","1626147","Justin Anderson","1612709910","Fort Wayne","Mad Ants","FWN","5","1631257","Jermaine Samuels Jr.","1612709910","Fort Wayne","Mad Ants","FWN","0","0",NA,NA,NA,NA,NA,"0",0
"2022200420","37","6","1","1","7:13 PM","8:47","Jeffries P.FOUL (P1.T1)",NA,NA,NA,NA,"4","1629610","DaQuan Jeffries","1612709919","Westchester","Knicks","WES","5","1626147","Justin Anderson","1612709910","Fort Wayne","Mad Ants","FWN","1","0",NA,NA,NA,NA,NA,"0",0
"2022200420","39","3","30","1","7:14 PM","8:47",NA,NA,"MISS Anderson Free Throw 1PT",NA,NA,"5","1626147","Justin Anderson","1612709910","Fort Wayne","Mad Ants","FWN","0","0",NA,NA,NA,NA,NA,"0","0",NA,NA,NA,NA,NA,"0",0
"2022200420","40","4","0","1","7:14 PM","8:44","Jeffries REBOUND (Off:0 Def:1)",NA,NA,NA,NA,"4","1629610","DaQuan Jeffries","1612709919","Westchester","Knicks","WES","0","0",NA,NA,NA,NA,NA,"0","0",NA,NA,NA,NA,NA,"0",0
"2022200420","41","1","5","1","7:14 PM","8:34","Noel 3' Layup (2 PTS) (Wright-Foreman 1 AST)",NA,NA,"13 - 8","-5","4","1630750","Obadiah Noel","1612709919","Westchester","Knicks","WES","4","1629625","Justin Wright-Foreman","1612709919","Westchester","Knicks","WES","0","0",NA,NA,NA,NA,NA,"0",0
"2022200420","43","2","5","1","7:15 PM","8:34",NA,NA,"MISS Anderson 4' Layup",NA,NA,"5","1626147","Justin Anderson","1612709910","Fort Wayne","Mad Ants","FWN","0","0",NA,NA,NA,NA,NA,"0","0",NA,NA,NA,NA,NA,"0",0
"2022200420","44","4","0","1","7:15 PM","8:27","Sims REBOUND (Off:1 Def:1)",NA,NA,NA,NA,"4","1630579","Jericho Sims","1612709919","Westchester","Knicks","WES","0","0",NA,NA,NA,NA,NA,"0","0",NA,NA,NA,NA,NA,"0",0
"2022200420","45","1","7","1","7:15 PM","8:27","Jeffries 3' Dunk (8 PTS) (Wright-Foreman 2 AST)",NA,NA,"13 - 10","-3","4","1629610","DaQuan Jeffries","1612709919","Westchester","Knicks","WES","4","1629625","Justin Wright-Foreman","1612709919","Westchester","Knicks","WES","0","0",NA,NA,NA,NA,NA,"0",0
"2022200420","47","2","1","1","7:16 PM","8:05",NA,NA,"MISS York 26' 3PT Jump Shot",NA,NA,"5","1628221","Gabe York","1612709910","Fort Wayne","Mad Ants","FWN","0","0",NA,NA,NA,NA,NA,"0","0",NA,NA,NA,NA,NA,"0",0
"2022200420","48","4","0","1","7:16 PM","8:05","Walker REBOUND (Off:0 Def:2)",NA,NA,NA,NA,"4","1630640","MJ Walker","1612709919","Westchester","Knicks","WES","0","0",NA,NA,NA,NA,NA,"0","0",NA,NA,NA,NA,NA,"0",0
"2022200420","49","5","1","1","7:17 PM","8:05","Walker Bad Pass Turnover (P1.T3)",NA,"Samuels Jr. STEAL (1 STL)",NA,NA,"4","1630640","MJ Walker","1612709919","Westchester","Knicks","WES","5","1631257","Jermaine Samuels Jr.","1612709910","Fort Wayne","Mad Ants","FWN","0","0",NA,NA,NA,NA,NA,"0",0
"2022200420","51","2","1","1","7:17 PM","7:55",NA,NA,"MISS Bone 27' 3PT Jump Shot",NA,NA,"5","1629648","Jordan Bone","1612709910","Fort Wayne","Mad Ants","FWN","0","0",NA,NA,NA,NA,NA,"0","0",NA,NA,NA,NA,NA,"0",0
"2022200420","52","4","0","1","7:18 PM","7:55","Wright-Foreman REBOUND (Off:0 Def:1)",NA,NA,NA,NA,"4","1629625","Justin Wright-Foreman","1612709919","Westchester","Knicks","WES","0","0",NA,NA,NA,NA,NA,"0","0",NA,NA,NA,NA,NA,"0",0
"2022200420","53","2","1","1","7:18 PM","7:40","MISS Jeffries 25' 3PT Jump Shot",NA,NA,NA,NA,"4","1629610","DaQuan Jeffries","1612709919","Westchester","Knicks","WES","0","0",NA,NA,NA,NA,NA,"0","0",NA,NA,NA,NA,NA,"0",0
"2022200420","54","4","0","1","7:18 PM","7:40",NA,NA,"Samuels Jr. REBOUND (Off:0 Def:1)",NA,NA,"5","1631257","Jermaine Samuels Jr.","1612709910","Fort Wayne","Mad Ants","FWN","0","0",NA,NA,NA,NA,NA,"0","0",NA,NA,NA,NA,NA,"0",0
"2022200420","55","1","1","1","7:18 PM","7:27",NA,NA,"York 25' 3PT Jump Shot (6 PTS) (Bone 1 AST)","16 - 10","-6","5","1628221","Gabe York","1612709910","Fort Wayne","Mad Ants","FWN","5","1629648","Jordan Bone","1612709910","Fort Wayne","Mad Ants","FWN","0","0",NA,NA,NA,NA,NA,"0",0
"2022200420","57","9","1","1","7:19 PM","7:27","KNICKS Timeout: Regular (Full 1 Short 0)",NA,NA,NA,NA,"2","1612709919",NA,NA,NA,NA,NA,"0","0",NA,NA,NA,NA,NA,"0","0",NA,NA,NA,NA,NA,"0",0
