"GAME_ID","EVENTNUM","EVENTMSGTYPE","EVENTMSGACTIONTYPE","PERIOD","WCTIMESTRING","PCTIMESTRING","HOMEDESCRIPTION","NEUTRALDESCRIPTION","VISITORDESCRIPTION","SCORE","SCOREMARGIN","PERSON1TYPE","PLAYER1_ID","PLAYER1_NAME","PLAYER1_TEAM_ID","PLAYER1_TEAM_CITY","PLAYER1_TEAM_NICKNAME","PLAYER1_TEAM_ABBREVIATION","PERSON2TYPE","PLAYER2_ID","PLAYER2_NAME","PLAYER2_TEAM_ID","PLAYER2_TEAM_CITY","PLAYER2_TEAM_NICKNAME","PLAYER2_TEAM_ABBREVIATION","PERSON3TYPE","PLAYER3_ID","PLAYER3_NAME","PLAYER3_TEAM_ID","PLAYER3_TEAM_CITY","PLAYER3_TEAM_NICKNAME","PLAYER3_TEAM_ABBREVIATION","VIDEO_AVAILABLE_FLAG","NA"
"2022200089","2","12","0","1","7:33 PM","12:00",NA,"Start of 1st Period (7:33 PM EST)",NA,NA,NA,"0","0",NA,NA,NA,NA,NA,"0","0",NA,NA,NA,NA,NA,"0","0",NA,NA,NA,NA,NA,"0",0
"2022200089","4","10","0","1","7:33 PM","12:00","Jump Ball Wooten vs. Maker: Tip to Brown",NA,NA,NA,NA,"4","1629624","Kenny Wooten","1612709920","Raptors","905","RAP","5","1630588","Makur Maker","1612709928","Capital City","Go-Go","CCG","4","1631122","Gabe Brown","1612709920","Raptors","905","RAP","0",0
"2022200089","7","2","101","1","7:33 PM","11:43","MISS Banton 13' Driving Floating Jump Shot",NA,NA,NA,NA,"4","1630625","Dalano Banton","1612709920","Raptors","905","RAP","0","0",NA,NA,NA,NA,NA,"0","0",NA,NA,NA,NA,NA,"0",0
"2022200089","8","4","0","1","7:33 PM","11:41",NA,NA,"Carey Jr. REBOUND (Off:0 Def:1)",NA,NA,"5","1630176","Vernon Carey Jr.","1612709928","Capital City","Go-Go","CCG","0","0",NA,NA,NA,NA,NA,"0","0",NA,NA,NA,NA,NA,"0",0
"2022200089","9","1","1","1","7:33 PM","11:16",NA,NA,"Carey Jr. 27' 3PT Jump Shot (3 PTS) (Bernard 1 AST)","3 - 0","-3","5","1630176","Vernon Carey Jr.","1612709928","Capital City","Go-Go","CCG","5","1631262","Jules Bernard","1612709928","Capital City","Go-Go","CCG","0","0",NA,NA,NA,NA,NA,"0",0
"2022200089","11","1","1","1","7:34 PM","11:02","Perry 24' 3PT Jump Shot (3 PTS) (Banton 1 AST)",NA,NA,"3 - 3","TIE","4","1629617","Reggie Perry","1612709920","Raptors","905","RAP","4","1630625","Dalano Banton","1612709920","Raptors","905","RAP","0","0",NA,NA,NA,NA,NA,"0",0
"2022200089","13","1","6","1","7:34 PM","10:55",NA,NA,"Dotson 5' Driving Layup (2 PTS)","5 - 3","-2","5","1629653","Devon Dotson","1612709928","Capital City","Go-Go","CCG","0","0",NA,NA,NA,NA,NA,"0","0",NA,NA,NA,NA,NA,"0",0
"2022200089","14","6","2","1","7:34 PM","10:55","Wooten S.FOUL (P1.T1)",NA,NA,NA,NA,"4","1629624","Kenny Wooten","1612709920","Raptors","905","RAP","5","1629653","Devon Dotson","1612709928","Capital City","Go-Go","CCG","1","0",NA,NA,NA,NA,NA,"0",0
"2022200089","16","3","30","1","7:34 PM","10:55",NA,NA,"Dotson Free Throw 1PT (3 PTS)","6 - 3","-3","5","1629653","Devon Dotson","1612709928","Capital City","Go-Go","CCG","0","0",NA,NA,NA,NA,NA,"0","0",NA,NA,NA,NA,NA,"0",0
"2022200089","17","1","75","1","7:34 PM","10:44","Banton 3' Driving Finger Roll Layup (2 PTS)",NA,NA,"6 - 5","-1","4","1630625","Dalano Banton","1612709920","Raptors","905","RAP","0","0",NA,NA,NA,NA,NA,"0","0",NA,NA,NA,NA,NA,"0",0
"2022200089","18","1","101","1","7:35 PM","10:30",NA,NA,"Bernard 8' Driving Floating Jump Shot (2 PTS) (Carey Jr. 1 AST)","8 - 5","-3","5","1631262","Jules Bernard","1612709928","Capital City","Go-Go","CCG","5","1630176","Vernon Carey Jr.","1612709928","Capital City","Go-Go","CCG","0","0",NA,NA,NA,NA,NA,"0",0
