"GAME_ID","EVENTNUM","EVENTMSGTYPE","EVENTMSGACTIONTYPE","PERIOD","WCTIMESTRING","PCTIMESTRING","HOMEDESCRIPTION","NEUTRALDESCRIPTION","VISITORDESCRIPTION","SCORE","SCOREMARGIN","PERSON1TYPE","PLAYER1_ID","PLAYER1_NAME","PLAYER1_TEAM_ID","PLAYER1_TEAM_CITY","PLAYER1_TEAM_NICKNAME","PLAYER1_TEAM_ABBREVIATION","PERSON2TYPE","PLAYER2_ID","PLAYER2_NAME","PLAYER2_TEAM_ID","PLAYER2_TEAM_CITY","PLAYER2_TEAM_NICKNAME","PLAYER2_TEAM_ABBREVIATION","PERSON3TYPE","PLAYER3_ID","PLAYER3_NAME","PLAYER3_TEAM_ID","PLAYER3_TEAM_CITY","PLAYER3_TEAM_NICKNAME","PLAYER3_TEAM_ABBREVIATION","VIDEO_AVAILABLE_FLAG","NA"
"2022200458","2","12","0","1","7:03 PM","12:00",NA,"Start of 1st Period (7:03 PM EST)",NA,NA,NA,"0","0",NA,NA,NA,NA,NA,"0","0",NA,NA,NA,NA,NA,"0","0",NA,NA,NA,NA,NA,"0",0
"2022200458","4","10","0","1","7:03 PM","12:00","Jump Ball Huff vs. Porter: Tip to Bass",NA,NA,NA,NA,"4","1630643","Jay Huff","1612709928","Capital City","Go-Go","CCG","5","1629007","Jontay Porter","1612709927","Wisconsin","Herd","WIS","5","1628238","Paris Bass","1612709927","Wisconsin","Herd","WIS","0",0
"2022200458","8","2","5","1","7:03 PM","11:36",NA,NA,"MISS Porter 11' Layup",NA,NA,"5","1629007","Jontay Porter","1612709927","Wisconsin","Herd","WIS","0","0",NA,NA,NA,NA,NA,"0","0",NA,NA,NA,NA,NA,"0",0
"2022200458","9","4","0","1","7:03 PM","11:35","Maker REBOUND (Off:0 Def:1)",NA,NA,NA,NA,"4","1630588","Makur Maker","1612709928","Capital City","Go-Go","CCG","0","0",NA,NA,NA,NA,NA,"0","0",NA,NA,NA,NA,NA,"0",0
"2022200458","10","2","1","1","7:03 PM","11:32","MISS Maker 27' 3PT Jump Shot",NA,NA,NA,NA,"4","1630588","Makur Maker","1612709928","Capital City","Go-Go","CCG","0","0",NA,NA,NA,NA,NA,"0","0",NA,NA,NA,NA,NA,"0",0
"2022200458","11","4","0","1","7:03 PM","11:29",NA,NA,"Sampson REBOUND (Off:0 Def:1)",NA,NA,"5","1629102","Brandon Sampson","1612709927","Wisconsin","Herd","WIS","0","0",NA,NA,NA,NA,NA,"0","0",NA,NA,NA,NA,NA,"0",0
"2022200458","12","1","1","1","7:03 PM","11:17",NA,NA,"Bass 21' Jump Shot (2 PTS)","2 - 0","-2","5","1628238","Paris Bass","1612709927","Wisconsin","Herd","WIS","0","0",NA,NA,NA,NA,NA,"0","0",NA,NA,NA,NA,NA,"0",0
"2022200458","13","2","5","1","7:04 PM","11:02","MISS Maker 4' Layup",NA,"Sampson BLOCK (1 BLK)",NA,NA,"4","1630588","Makur Maker","1612709928","Capital City","Go-Go","CCG","0","0",NA,NA,NA,NA,NA,"5","1629102","Brandon Sampson","1612709927","Wisconsin","Herd","WIS","0",0
"2022200458","15","4","0","1","7:04 PM","11:02","GO-GO Rebound",NA,NA,NA,NA,"2","1612709928",NA,NA,NA,NA,NA,"0","0",NA,NA,NA,NA,NA,"0","0",NA,NA,NA,NA,NA,"0",0
"2022200458","17","2","1","1","7:04 PM","10:55","MISS Bernard 6' Jump Shot",NA,NA,NA,NA,"4","1631262","Jules Bernard","1612709928","Capital City","Go-Go","CCG","0","0",NA,NA,NA,NA,NA,"0","0",NA,NA,NA,NA,NA,"0",0
"2022200458","18","4","0","1","7:04 PM","10:50",NA,NA,"Sirvydis REBOUND (Off:0 Def:1)",NA,NA,"5","1629686","Deividas Sirvydis","1612709927","Wisconsin","Herd","WIS","0","0",NA,NA,NA,NA,NA,"0","0",NA,NA,NA,NA,NA,"0",0
"2022200458","19","1","5","1","7:04 PM","10:47",NA,NA,"Sampson 1' Layup (2 PTS) (Sirvydis 1 AST)","4 - 0","-4","5","1629102","Brandon Sampson","1612709927","Wisconsin","Herd","WIS","5","1629686","Deividas Sirvydis","1612709927","Wisconsin","Herd","WIS","0","0",NA,NA,NA,NA,NA,"0",0
"2022200458","21","2","1","1","7:04 PM","10:34","MISS Dotson 24' 3PT Jump Shot",NA,NA,NA,NA,"4","1629653","Devon Dotson","1612709928","Capital City","Go-Go","CCG","0","0",NA,NA,NA,NA,NA,"0","0",NA,NA,NA,NA,NA,"0",0
"2022200458","22","4","0","1","7:04 PM","10:34","Huff REBOUND (Off:1 Def:0)",NA,NA,NA,NA,"4","1630643","Jay Huff","1612709928","Capital City","Go-Go","CCG","0","0",NA,NA,NA,NA,NA,"0","0",NA,NA,NA,NA,NA,"0",0
"2022200458","23","2","1","1","7:04 PM","10:24","MISS Dotson 17' Jump Shot",NA,NA,NA,NA,"4","1629653","Devon Dotson","1612709928","Capital City","Go-Go","CCG","0","0",NA,NA,NA,NA,NA,"0","0",NA,NA,NA,NA,NA,"0",0
"2022200458","24","4","0","1","7:05 PM","10:20",NA,NA,"Sampson REBOUND (Off:0 Def:2)",NA,NA,"5","1629102","Brandon Sampson","1612709927","Wisconsin","Herd","WIS","0","0",NA,NA,NA,NA,NA,"0","0",NA,NA,NA,NA,NA,"0",0
"2022200458","25","2","1","1","7:05 PM","10:09",NA,NA,"MISS Porter 6' Jump Shot",NA,NA,"5","1629007","Jontay Porter","1612709927","Wisconsin","Herd","WIS","0","0",NA,NA,NA,NA,NA,"0","0",NA,NA,NA,NA,NA,"0",0
"2022200458","26","4","0","1","7:05 PM","10:06","Maker REBOUND (Off:0 Def:2)",NA,NA,NA,NA,"4","1630588","Makur Maker","1612709928","Capital City","Go-Go","CCG","0","0",NA,NA,NA,NA,NA,"0","0",NA,NA,NA,NA,NA,"0",0
"2022200458","27","2","1","1","7:05 PM","9:57","MISS Maker 7' Jump Shot",NA,NA,NA,NA,"4","1630588","Makur Maker","1612709928","Capital City","Go-Go","CCG","0","0",NA,NA,NA,NA,NA,"0","0",NA,NA,NA,NA,NA,"0",0
"2022200458","28","4","0","1","7:05 PM","9:54","Bernard REBOUND (Off:1 Def:0)",NA,NA,NA,NA,"4","1631262","Jules Bernard","1612709928","Capital City","Go-Go","CCG","0","0",NA,NA,NA,NA,NA,"0","0",NA,NA,NA,NA,NA,"0",0
"2022200458","29","2","1","1","7:05 PM","9:53","MISS Bernard 27' 3PT Jump Shot",NA,NA,NA,NA,"4","1631262","Jules Bernard","1612709928","Capital City","Go-Go","CCG","0","0",NA,NA,NA,NA,NA,"0","0",NA,NA,NA,NA,NA,"0",0
"2022200458","30","4","0","1","7:05 PM","9:51",NA,NA,"Sampson REBOUND (Off:0 Def:3)",NA,NA,"5","1629102","Brandon Sampson","1612709927","Wisconsin","Herd","WIS","0","0",NA,NA,NA,NA,NA,"0","0",NA,NA,NA,NA,NA,"0",0
"2022200458","31","2","1","1","7:05 PM","9:43",NA,NA,"MISS Porter 26' 3PT Jump Shot",NA,NA,"5","1629007","Jontay Porter","1612709927","Wisconsin","Herd","WIS","0","0",NA,NA,NA,NA,NA,"0","0",NA,NA,NA,NA,NA,"0",0
"2022200458","32","4","0","1","7:05 PM","9:39","Huff REBOUND (Off:1 Def:1)",NA,NA,NA,NA,"4","1630643","Jay Huff","1612709928","Capital City","Go-Go","CCG","0","0",NA,NA,NA,NA,NA,"0","0",NA,NA,NA,NA,NA,"0",0
"2022200458","33","6","2","1","7:05 PM","9:36",NA,NA,"Sirvydis S.FOUL (P1.T1)",NA,NA,"5","1629686","Deividas Sirvydis","1612709927","Wisconsin","Herd","WIS","4","1630643","Jay Huff","1612709928","Capital City","Go-Go","CCG","1","0",NA,NA,NA,NA,NA,"0",0
"2022200458","35","3","31","1","7:06 PM","9:36","Huff Free Throw 2PT (2 PTS)",NA,NA,"4 - 2","-2","4","1630643","Jay Huff","1612709928","Capital City","Go-Go","CCG","0","0",NA,NA,NA,NA,NA,"0","0",NA,NA,NA,NA,NA,"0",0
"2022200458","36","2","1","1","7:06 PM","9:19",NA,NA,"MISS Sampson 29' 3PT Jump Shot",NA,NA,"5","1629102","Brandon Sampson","1612709927","Wisconsin","Herd","WIS","0","0",NA,NA,NA,NA,NA,"0","0",NA,NA,NA,NA,NA,"0",0
"2022200458","37","4","0","1","7:06 PM","9:14","Maker REBOUND (Off:0 Def:3)",NA,NA,NA,NA,"4","1630588","Makur Maker","1612709928","Capital City","Go-Go","CCG","0","0",NA,NA,NA,NA,NA,"0","0",NA,NA,NA,NA,NA,"0",0
"2022200458","38","1","44","1","7:06 PM","9:02","Dotson 3' Reverse Layup (2 PTS)",NA,NA,"4 - 4","TIE","4","1629653","Devon Dotson","1612709928","Capital City","Go-Go","CCG","0","0",NA,NA,NA,NA,NA,"0","0",NA,NA,NA,NA,NA,"0",0
"2022200458","39","1","1","1","7:06 PM","8:50",NA,NA,"Sirvydis 26' 3PT Jump Shot (3 PTS) (Porter 1 AST)","7 - 4","-3","5","1629686","Deividas Sirvydis","1612709927","Wisconsin","Herd","WIS","5","1629007","Jontay Porter","1612709927","Wisconsin","Herd","WIS","0","0",NA,NA,NA,NA,NA,"0",0
"2022200458","41","1","5","1","7:07 PM","8:23","Huff 2' Layup (4 PTS) (Maker 1 AST)",NA,NA,"7 - 6","-1","4","1630643","Jay Huff","1612709928","Capital City","Go-Go","CCG","4","1630588","Makur Maker","1612709928","Capital City","Go-Go","CCG","0","0",NA,NA,NA,NA,NA,"0",0
"2022200458","43","2","1","1","7:07 PM","8:08","Maker BLOCK (1 BLK)",NA,"MISS Molinar 11' Jump Shot",NA,NA,"5","1631129","Iverson Molinar","1612709927","Wisconsin","Herd","WIS","0","0",NA,NA,NA,NA,NA,"4","1630588","Makur Maker","1612709928","Capital City","Go-Go","CCG","0",0
"2022200458","45","4","0","1","7:07 PM","8:04","Bernard REBOUND (Off:1 Def:1)",NA,NA,NA,NA,"4","1631262","Jules Bernard","1612709928","Capital City","Go-Go","CCG","0","0",NA,NA,NA,NA,NA,"0","0",NA,NA,NA,NA,NA,"0",0
"2022200458","46","1","1","1","7:07 PM","7:59","Dotson 10' Jump Shot (4 PTS) (Bernard 1 AST)",NA,NA,"7 - 8","1","4","1629653","Devon Dotson","1612709928","Capital City","Go-Go","CCG","4","1631262","Jules Bernard","1612709928","Capital City","Go-Go","CCG","0","0",NA,NA,NA,NA,NA,"0",0
"2022200458","48","2","1","1","7:08 PM","7:44",NA,NA,"MISS Porter 25' 3PT Jump Shot",NA,NA,"5","1629007","Jontay Porter","1612709927","Wisconsin","Herd","WIS","0","0",NA,NA,NA,NA,NA,"0","0",NA,NA,NA,NA,NA,"0",0
